"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","ventes de produits","crédits d'expédition","crédits sur l'emballage cadeau","Rabais promotionnels","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"13 mai 2016 19:26:16 UTC+00:00","6744996172","Remboursement","171-8887559-8727512","Drum","batterie électronique avec pad de percussion, parfait pour les débutants et les enfants","1","amazon.fr","Amazon","La Chapelle St Mesmin","","45380","-44,99","0","0","0","4,32","0","0","0","-40,67"
"14 mai 2016 03:24:12 UTC+00:00","6744996172","Commande","171-8608862-4589107","Towel Holder-6 Hooks","Amorus®Accessoires Etagères Crochet à Ventouse en métal Salle de bain Porte mural porte-serviettes avec 6 Crochets, 400*30*38mm","1","amazon.fr","Amazon","Aubenas","","07200","16,49","0","0","0","-2,47","-3,66","0","0","10,36"
"14 mai 2016 14:09:34 UTC+00:00","6744996172","Commande","404-6525673-9039565","MO5-FR-Blue-FBA","Amorus® Sacoches de selle étanches avec Signal de tour LED clignotants télécommande sans fil émetteur (bleu)","1","amazon.fr","Amazon","Carrières sur seine","","78420","27,99","3,99","0","0","-4,20","-6,07","0","0","21,71"
"17 mai 2016 07:15:37 UTC+00:00","6744996172","Commande","403-2911514-3677142","392A-FR","Amorus® Haut-parleur portable en lévitation dans l'air Bluetooth avec Mic et NFC pour iPhone 6/6 Plus, mini iPad 3/2/1, iPad Air 2/1, Samsung Galaxy S","1","amazon.fr","Amazon","Clermont Ferrand","","63100","99,99","0","0","0","-7,00","-3,83","0","0","89,16"
"17 mai 2016 08:44:19 UTC+00:00","6744996172","Commande","403-5970302-5265966","392A-FR","Amorus® Haut-parleur portable en lévitation dans l'air Bluetooth avec Mic et NFC pour iPhone 6/6 Plus, mini iPad 3/2/1, iPad Air 2/1, Samsung Galaxy S","1","amazon.fr","Amazon","Puteaux","","92800","99,99","0","0","0","-7,00","-3,83","0","0","89,16"
"17 mai 2016 09:58:48 UTC+00:00","6744996172","Commande","402-5252236-4481109","Bluemask-S","Amorus Masque couvert toute la face de plongée, antibuée,antifuite,PC+Gel de silice (Bleu , S/M)","2","amazon.fr","Vendeur","thil","","54880","79,98","6,00","0","0","-12,90","0","0","0","73,08"
"17 mai 2016 12:33:45 UTC+00:00","6744996172","Commande","404-0553725-1190763","183A-FR-FBA","Amorus Rechargeable 61 touches Silicon flexible Roll Up MIDI Piano Design électronique pour les débutants et les enfants","1","amazon.fr","Amazon","mulhouse","","68100","54,99","0","0","0","-6,60","-3,70","0","0","44,69"
"17 mai 2016 13:07:22 UTC+00:00","6744996172","Commande","404-9523123-7816365","MO5-FR-Green-FBA","Amorus® Sacoches de selle étanches avec Signal de tour LED clignotants télécommande sans fil émetteur (vert)","1","amazon.fr","Amazon","Bayonne","","64100","19,99","0","0","0","-3,00","-2,74","0","0","14,25"
"17 mai 2016 17:13:33 UTC+00:00","6744996172","Commande","403-0154369-2903533","88keys-FR-FBA","Amorus® Piano numérique roulant 88 touches Silicon pour les débutants et les enfants","1","amazon.fr","Amazon","Paris","","75011","94,99","0","0","0","-11,40","-3,83","0","0","79,76"
"17 mai 2016 18:49:30 UTC+00:00","6744996172","Commande","404-0986399-4032331","565B-FR-FBA","Amorus® LED Lampe de bureau/de table/de lecture, interrupteur tactile USB rechargeable ,pliable à angle 360 ° entièrement et portable, 3 Light & 6 niv","1","amazon.fr","Amazon","Metz","","57000","32,99","0","0","0","-4,95","-3,50","0","0","24,54"
"18 mai 2016 01:34:29 UTC+00:00","6744996172","Remboursement","402-1193061-9150747","declock08","LED Alarme Horloge avec humidité/ date/ température/ Capteur Fonction et rétroéclairage Intelligent commande tactile (bleu)","1","amazon.fr","Amazon","NANTERRE","","92000","-11,99","0","0","0","1,44","0","0","0","-10,55"
"18 mai 2016 10:58:11 UTC+00:00","6744996172","Commande","402-0870086-4247539","146A-FR-FBA","Amours® Étui de transport protection portatif de stockage en voyage pour GoPro Hero4 /Hero4 Black/Hero 4 Silver/Hero/Hero3/Hero3+/Hero2 et Accessoires","1","amazon.fr","Amazon","Mauves Sur Loire","","44470","8,99","0","0","0","-1,08","-2,74","0","0","5,17"
"18 mai 2016 13:26:52 UTC+00:00","6744996172","Commande","404-6433593-4830708","146A-FR-FBA","Amours® Étui de transport protection portatif de stockage en voyage pour GoPro Hero4 /Hero4 Black/Hero 4 Silver/Hero/Hero3/Hero3+/Hero2 et Accessoires","1","amazon.fr","Amazon","Compiègne","","60200","8,99","0","0","0","-1,08","-2,74","0","0","5,17"
"18 mai 2016 14:08:29 UTC+00:00","6744996172","Commande","404-0208618-7973158","MO5-FR-Green-FBA","Amorus® Sacoches de selle étanches avec Signal de tour LED clignotants télécommande sans fil émetteur (vert)","1","amazon.fr","Amazon","roquebrune cap martin","","06190","19,99","0","0","0","-3,00","-2,74","0","0","14,25"
"18 mai 2016 17:33:34 UTC+00:00","6744996172","Commande","403-9127374-3921126","declock08","LED Alarme Horloge avec humidité/ date/ température/ Capteur Fonction et rétroéclairage Intelligent commande tactile (bleu)","1","amazon.fr","Amazon","MASSY","","91300","11,99","0","0","0","-1,80","-2,74","0","0","7,45"
"18 mai 2016 18:35:43 UTC+00:00","6744996172","Commande","402-0963479-0081903","88keys-FR-FBA","Amorus® Piano numérique roulant 88 touches Silicon pour les débutants et les enfants","1","amazon.fr","Amazon","marseillan-plage","","34340","94,99","0","0","0","-11,40","-3,83","0","0","79,76"
"19 mai 2016 08:20:09 UTC+00:00","6744996172","Commande","403-9420206-5045128","392B-FR","Amorus® Haut-parleur portable en lévitation dans l'air Bluetooth avec Mic et NFC pour iPhone 6/6 Plus, mini iPad 3/2/1, iPad Air 2/1, Samsung Galaxy S","1","amazon.fr","Amazon","CHATILLON","","92320","94,99","0","0","0","-6,65","-3,83","0","0","84,51"
"19 mai 2016 08:27:20 UTC+00:00","6744996172","Commande","S02-5678432-8769362","AC-ADAPTER","Bloc d'alimentation adaptateur secteur 12V 2A","1","si-prod-fr-marketplace.stores.amazon.fr","Amazon","Puteaux","","92800","0","0","0","0","0","-1,80","0","0","-1,80"
